descricao,valor,categoria
Assistencia Tecnica Celular,35.62,Servicos
Mensalidade Faculdade Unip,137.99,Educacao
Agua e Esgoto Sabesp,459.37,Moradia
Salao de Beleza Charme,15.89,Servicos
Protecao Veicular Porto Seguro,50.59,Transporte
Papelaria Escolar Center,71.42,Educacao
Chaveiro 24 Horas,28.39,Servicos
Lavanderia Express,4.0,Servicos
Cinema Cinemark,44.75,Lazer
Fisioterapia ReviveMed,150.6,Saude
Padaria Ponto do Pao,49.36,Alimentacao
Mensalidade Faculdade Estacio,79.12,Educacao
Padaria Ponto do Pao,48.93,Alimentacao
Mercado Atacadao,50.4,Alimentacao
Farmacia Drogasil,41.07,Saude
Hospital Sao Marcos,81.98,Saude
Combustivel Gasolina,29.32,Transporte
Costureira do Bairro,17.62,Servicos
Remedio Farmacia,123.7,Saude
Passeio Parque Aquatico,27.61,Lazer
Bar do Amigo,41.94,Lazer
Curso Online Alura,63.85,Educacao
Curso de Ingles CNA,72.9,Educacao
iFood Delivery,21.63,Alimentacao
Onibus Intermunicipal,54.66,Transporte
Salao de Beleza Vintage,49.53,Servicos
Aluguel Apartamento Centro,207.9,Moradia
Livraria Livraria Nobel,33.9,Educacao
Barbearia Vintage,31.74,Servicos
Supermercado Carrefour,69.73,Alimentacao
Salao de Beleza Vintage,12.87,Servicos
Cinema Kinoplex,12.9,Lazer
Lanchonete do Povo,49.28,Alimentacao
Padaria Doce Vida,58.11,Alimentacao
Passeio Parque Aquatico,10.01,Lazer
Papelaria Kalunga,87.88,Educacao
Farmacia Popular,128.53,Saude
Supermercado Extra,24.23,Alimentacao
Passeio Parque Aquatico,5.3,Lazer
Bar do Amigo,26.54,Lazer
Streaming Netflix,20.51,Lazer
Chaveiro 24 Horas,50.29,Servicos
Oficina Mecanica Silva,30.0,Transporte
Seguro Residencial Bradesco,278.63,Moradia
Padaria Doce Vida,28.54,Alimentacao
Curso Preparatorio Vestibular,49.26,Educacao
Livraria Cultura Didatica,37.6,Educacao
Aplicativo Uber,21.1,Transporte
Curso de Ingles Wizard,155.06,Educacao
Assistencia Tecnica Celular,61.96,Servicos
Mensalidade Escola Positivo,172.82,Educacao
Clinica Odontologica Bem Estar,138.38,Saude
Streaming Deezer,82.48,Lazer
Chaveiro 24 Horas,37.07,Servicos
Mensalidade Faculdade Estacio,211.96,Educacao
Curso de Ingles Fisk,88.22,Educacao
Barbearia Moderna,32.8,Servicos
Assinatura Duolingo Plus,118.04,Educacao
Barbearia Moderna,31.69,Servicos
Mensalidade Escola Positivo,67.12,Educacao
Curso Online Udemy,126.03,Educacao
Hospital Sao Marcos,41.02,Saude
Buffet de Eventos Tematico,7.58,Lazer
Streaming Disney Plus,19.34,Lazer
Oficina Mecanica Rapida,68.69,Transporte
Lava Rapido Brilho,67.63,Transporte
Lanchonete do Povo,54.51,Alimentacao
Feira Livre do Bairro,23.26,Alimentacao
Plano Odontologico Amil Dental,277.32,Saude
Clinica Odontologica Bem Estar,163.62,Saude
Curso Preparatorio Vestibular,37.27,Educacao
Conta de Luz,338.66,Moradia
Cinema Ingresso Show,17.04,Lazer
Estacionamento Multipark,35.73,Transporte
Acougue do Ze,16.53,Alimentacao
Assinatura Duolingo Plus,50.72,Educacao
Streaming Deezer,11.78,Lazer
Auto Pecas Brasil,98.93,Transporte
Academia Smart Fit,79.72,Saude
Laboratorio Exame Hermes Pardini,48.91,Saude
Material de Construcao Casa Show,278.73,Moradia
Plano de Saude Amil,233.82,Saude
Farmacia Extrafarma,182.27,Saude
Supermercado Extra,32.71,Alimentacao
Condominio Edificio Central,157.38,Moradia
Farmacia Nissei,63.84,Saude
Auto Pecas Center,39.5,Transporte
Laboratorio Exame Hermes Pardini,80.42,Saude
Curso de Ingles CNA,99.15,Educacao
Curso Preparatorio Vestibular,94.19,Educacao
Oficina Mecanica Silva,40.35,Transporte
Cinema Ingresso Show,15.85,Lazer
Mensalidade Escola Positivo,303.06,Educacao
Conta de Agua,359.01,Moradia
Laboratorio Exame Fleury,108.67,Saude
Consulta Medica Clinica Vida,199.33,Saude
iFood Delivery,53.71,Alimentacao
Mercadinho da Vila,85.7,Alimentacao
iFood Delivery,64.04,Alimentacao
Lanchonete Central,27.6,Alimentacao
Parque de Diversoes,40.88,Lazer
Streaming Deezer,8.89,Lazer
Pet Shop Amigo Fiel,23.3,Servicos
Mercado Atacadao,106.74,Alimentacao
Farmacia Pague Menos,57.97,Saude
Combustivel Gasolina,24.16,Transporte
Padaria Bela Vista,36.0,Alimentacao
Curso Online Alura,87.12,Educacao
Psicologo Consulta Online,111.49,Saude
Padaria Doce Vida,62.52,Alimentacao
Pedagio Via Facil,29.19,Transporte
Condominio Edificio Central,334.44,Moradia
Mensalidade Escola Positivo,125.03,Educacao
Posto Ale,69.83,Transporte
Cinema Kinoplex,17.94,Lazer
Feira Livre do Bairro,22.98,Alimentacao
Farmacia Droga Raia,58.52,Saude
Farmacia Droga Raia,64.99,Saude
Assistencia Tecnica Celular,23.81,Servicos
Papelaria Kalunga,64.31,Educacao
Salao de Beleza Vintage,11.1,Servicos
Pet Shop Bicho Feliz,8.79,Servicos
Barbearia Vintage,20.76,Servicos
Onibus Metropolitano,103.43,Transporte
Pedagio Sem Parar,19.19,Transporte
Lavanderia Express,51.82,Servicos
Barbearia Moderna,29.43,Servicos
Plano de Saude Amil,44.66,Saude
Papelaria Nobre,102.79,Educacao
Cinema Ingresso Show,11.63,Lazer
Parque Aquatico Wet Fun,13.1,Lazer
Balada Clube Noturno,11.62,Lazer
Oficina Mecanica Rapida,23.06,Transporte
Estacionamento Zona Azul,168.27,Transporte
Estacionamento Zona Azul,52.94,Transporte
Barbearia Vintage,75.44,Servicos
Supermercado Big Bompreco,47.14,Alimentacao
Streaming Deezer,8.43,Lazer
Lanchonete Central,42.83,Alimentacao
Plano de Saude Unimed,154.65,Saude
Streaming Disney Plus,13.67,Lazer
Aplicativo InDrive,76.93,Transporte
Consulta Medica Clinica Vida,400.36,Saude
Streaming Disney Plus,28.82,Lazer
Energia Enel,194.2,Moradia
Plano de Saude Unimed,64.91,Saude
Farmacia Popular,130.69,Saude
Curso Profissionalizante,103.94,Educacao
Auto Pecas Brasil,15.58,Transporte
Acougue Boi Bom,20.56,Alimentacao
Supermercado Extra,85.27,Alimentacao
Papelaria Escolar Center,49.04,Educacao
Curso Online Udemy,88.07,Educacao
Posto BR Mania,55.12,Transporte
Padaria Ponto do Pao,43.97,Alimentacao
Laboratorio Exame Hermes Pardini,47.6,Saude
Mensalidade Escola Positivo,198.91,Educacao
Farmacia Drogasil,50.68,Saude
Combustivel Etanol,19.35,Transporte
Reforma Casa e Cia,713.83,Moradia
Costureira do Bairro,13.88,Servicos
Clinica Odontologica Bem Estar,98.17,Saude
Costureira do Bairro,14.72,Servicos
Papelaria Kalunga,270.87,Educacao
Plano Odontologico OdontoPrev,88.11,Saude
Imobiliaria Confianca,632.35,Moradia
Curso de Ingles CNA,24.91,Educacao
Plano de Saude Unimed,204.67,Saude
Assistencia Tecnica Celular,11.57,Servicos
Chaveiro 24 Horas,21.01,Servicos
Barbearia Moderna,25.69,Servicos
Costureira do Bairro,9.27,Servicos
Streaming Disney Plus,31.34,Lazer
Hortifruti Verde Vida,67.21,Alimentacao
Combustivel Gasolina,41.85,Transporte
Restaurante Temperinho,54.5,Alimentacao
Streaming Deezer,15.85,Lazer
Barbearia Vintage,24.24,Servicos
Conta de Luz,338.65,Moradia
Gas Comgas,309.79,Moradia
Plano de Saude SulAmerica,33.73,Saude
Plano Odontologico OdontoPrev,172.64,Saude
Mensalidade Escola Objetivo,156.37,Educacao
Supermercado Assai,52.3,Alimentacao
Moveis Etna,204.66,Moradia
Padaria Doce Vida,67.12,Alimentacao
Servico de Fotografia,3.83,Servicos
Streaming Disney Plus,14.53,Lazer
Feira Livre Central,23.18,Alimentacao
Acougue Boi Bom,90.51,Alimentacao
Mensalidade Escola Objetivo,42.41,Educacao
Laboratorio Exame Hermes Pardini,69.29,Saude
Aluguel Casa Jardim,638.03,Moradia
Gas Ultragaz,409.96,Moradia
Assistencia Tecnica Celular,69.65,Servicos
Psicologo Consulta Online,123.66,Saude
Farmacia Nissei,125.11,Saude
Boliche Fun Center,10.95,Lazer
Restaurante Prato Feito,60.86,Alimentacao
Supermercado Carrefour,77.54,Alimentacao
Energia Light,216.92,Moradia
Buffet de Eventos Tematico,21.84,Lazer
Onibus Intermunicipal,37.51,Transporte
Protecao Veicular Allianz,39.57,Transporte
Mensalidade Escola Bilingue,314.33,Educacao
Papelaria Escolar Center,132.65,Educacao
Energia Cemig,156.77,Moradia
Mensalidade Faculdade Estacio,209.8,Educacao
Moveis Tok e Stok,645.12,Moradia
Curso Preparatorio Vestibular,83.62,Educacao
Curso Profissionalizante,56.25,Educacao
Aplicativo 99,29.04,Transporte
Padaria Sao Jose,54.43,Alimentacao
Auto Pecas Center,26.38,Transporte
Auto Pecas Center,31.74,Transporte
Farmacia Extrafarma,189.12,Saude
Salao de Beleza Estilo,23.82,Servicos
Mercado Atacadao,49.22,Alimentacao
Conta de Luz,161.57,Moradia
Salao de Beleza Estilo,13.87,Servicos
Consulta Medica Particular,44.3,Saude
Lavanderia Express,21.99,Servicos
Streaming Deezer,27.47,Lazer
Farmacia Pague Menos,253.95,Saude
Moveis Tok e Stok,299.77,Moradia
Internet Claro Fibra,344.99,Moradia
Auto Pecas Center,108.91,Transporte
Curso de Ingles Fisk,155.77,Educacao
Curso Preparatorio Vestibular,53.56,Educacao
Assistencia Tecnica Celular,45.32,Servicos
Aplicativo 99,75.52,Transporte
Plano Odontologico OdontoPrev,161.35,Saude
Passeio Parque Aquatico,16.11,Lazer
Assistencia Tecnica Celular,46.73,Servicos
Mensalidade Faculdade Unip,99.05,Educacao
Assistencia Tecnica Eletronicos,14.52,Servicos
Rappi Delivery,43.11,Alimentacao
Servico de Fotografia,56.35,Servicos
Rappi Delivery,37.03,Alimentacao
Clinica Odontologica Bem Estar,139.97,Saude
Livraria Cultura Didatica,96.78,Educacao
Padaria Doce Vida,40.0,Alimentacao
Energia Cemig,275.63,Moradia
Combustivel Etanol,33.93,Transporte
Aplicativo 99,15.14,Transporte
Manicure a Domicilio,71.78,Servicos
Buffet de Eventos Tematico,59.19,Lazer
Curso Tecnico Senai,63.66,Educacao
Farmacia Pague Menos,386.33,Saude
Bar da Esquina,18.24,Lazer
Condominio Residencial Sol,433.95,Moradia
Livraria Cultura Didatica,68.21,Educacao
Curso Profissionalizante,74.39,Educacao
Pet Shop Amigo Fiel,14.16,Servicos
Livraria Cultura Didatica,42.34,Educacao
Salao de Beleza Charme,42.82,Servicos
Pedagio Via Facil,38.22,Transporte
Curso Online Udemy,78.38,Educacao
Barbearia Vintage,21.18,Servicos
Revisao Automotiva Center,28.57,Transporte
Conta de Agua,312.66,Moradia
Imobiliaria Confianca,634.71,Moradia
Hortifruti Sao Joao,25.92,Alimentacao
Mensalidade Escola Objetivo,59.81,Educacao
Streaming Deezer,25.28,Lazer
Posto Ale,33.12,Transporte
Pet Shop Bicho Feliz,61.34,Servicos
Energia Light,196.09,Moradia
Curso Online Udemy,104.48,Educacao
Restaurante Sabor Caseiro,61.86,Alimentacao
Curso de Ingles CNA,116.79,Educacao
Hospital Sao Marcos,100.19,Saude
Internet Vivo Fibra,438.95,Moradia
Lavanderia Rapida,87.33,Servicos
Condominio Edificio Central,340.14,Moradia
Supermercado Extra,206.82,Alimentacao
Energia CPFL,172.75,Moradia
Supermercado Assai,108.6,Alimentacao
Parque Aquatico Wet Fun,25.56,Lazer
Consulta Medica Particular,107.86,Saude
Supermercado Extra,75.82,Alimentacao
Papelaria Nobre,52.11,Educacao
Buffet de Eventos Tematico,14.36,Lazer
Streaming Amazon Prime,26.65,Lazer
Supermercado Assai,52.35,Alimentacao
Lavanderia Rapida,24.53,Servicos
Protecao Veicular Porto Seguro,20.56,Transporte
Supermercado Carrefour,50.08,Alimentacao
Bar do Amigo,22.01,Lazer
Auto Pecas Center,34.26,Transporte
Acougue Central,58.12,Alimentacao
Conserto de Eletronicos,50.69,Servicos
Protecao Veicular Porto Seguro,83.85,Transporte
Lavanderia Rapida,26.23,Servicos
Onibus Intermunicipal,36.64,Transporte
Barbearia Vintage,16.89,Servicos
Mercado Atacadao,63.75,Alimentacao
Streaming Netflix,11.75,Lazer
Farmacia Nissei,118.56,Saude
iFood Delivery,52.99,Alimentacao
Costureira do Bairro,11.78,Servicos
Parque Aquatico Wet Fun,11.07,Lazer
Plano Odontologico OdontoPrev,252.28,Saude
Supermercado Carrefour,35.68,Alimentacao
Fisioterapia ReviveMed,121.73,Saude
Plano de Saude Amil,44.17,Saude
Supermercado Extra,64.35,Alimentacao
Parque de Diversoes,20.37,Lazer
Lava Rapido Brilho,27.2,Transporte
iFood Delivery,24.82,Alimentacao
Aluguel Residencial Imovel,209.85,Moradia
Costureira do Bairro,8.83,Servicos
Hortifruti Sao Joao,50.77,Alimentacao
Conserto de Eletronicos,15.18,Servicos
Hortifruti Sao Joao,32.95,Alimentacao
Lanchonete Central,60.09,Alimentacao
Mensalidade Escola Positivo,349.83,Educacao
Plano de Saude SulAmerica,290.96,Saude
Mensalidade Escola Objetivo,81.38,Educacao
Papelaria Kalunga,73.73,Educacao
Mensalidade Escola Objetivo,54.51,Educacao
Material de Construcao Casa Show,244.22,Moradia
Laboratorio Exame Fleury,257.58,Saude
Internet Oi Fibra,240.58,Moradia
Papelaria Escolar Center,62.19,Educacao
Livraria Saraiva,139.3,Educacao
Assinatura Duolingo Plus,40.9,Educacao
Streaming HBO Max,16.07,Lazer
Estacionamento Multipark,74.65,Transporte
Barbearia Moderna,15.42,Servicos
Aplicativo InDrive,39.85,Transporte
Mensalidade Escola Objetivo,72.05,Educacao
Hortifruti Sao Joao,38.81,Alimentacao
Aluguel Residencial Imovel,505.97,Moradia
Padaria Sao Jose,104.92,Alimentacao
Parque de Diversoes,11.74,Lazer
Consulta Medica Particular,138.26,Saude
Supermercado Assai,59.21,Alimentacao
Papelaria Kalunga,110.87,Educacao
Aplicativo InDrive,44.94,Transporte
Manicure a Domicilio,16.35,Servicos
Posto Ipiranga,43.94,Transporte
Clinica Odontologica Sorriso,67.78,Saude
Revisao Automotiva Center,61.8,Transporte
Buffet de Eventos Tematico,23.05,Lazer
Auto Pecas Brasil,40.94,Transporte
Condominio Edificio Central,444.98,Moradia
Papelaria Escolar Center,52.42,Educacao
Curso Profissionalizante,151.95,Educacao
Restaurante Temperinho,37.76,Alimentacao
Curso Online Udemy,73.4,Educacao
Farmacia Nissei,131.01,Saude
Material de Construcao Casa Show,293.93,Moradia
Laboratorio Exame Fleury,190.41,Saude
Mensalidade Escola Bilingue,315.54,Educacao
Restaurante Temperinho,23.04,Alimentacao
Combustivel Etanol,33.28,Transporte
Reforma Casa e Cia,353.86,Moradia
Assinatura Duolingo Plus,77.05,Educacao
Pedagio Via Facil,72.11,Transporte
Costureira do Bairro,42.93,Servicos
Farmacia Pague Menos,174.44,Saude
Barbearia Classica,30.14,Servicos
Conserto de Eletronicos,10.85,Servicos
Salao de Beleza Vintage,34.49,Servicos
Streaming HBO Max,29.68,Lazer
Cinema Ingresso Show,13.49,Lazer
Boliche Fun Center,7.69,Lazer
Onibus Metropolitano,76.84,Transporte
Reforma Casa e Cia,783.01,Moradia
Internet Claro Fibra,292.2,Moradia
Internet Oi Fibra,195.38,Moradia
Curso Profissionalizante,67.89,Educacao
Supermercado Assai,68.48,Alimentacao
Farmacia Nissei,100.53,Saude
Balada Clube Noturno,33.91,Lazer
Condominio Residencial Sol,634.77,Moradia
Consulta Medica Particular,190.27,Saude
Curso de Ingles CNA,117.34,Educacao
Farmacia Drogasil,556.32,Saude
Salao de Beleza Charme,34.64,Servicos
Feira Livre do Bairro,230.08,Alimentacao
Auto Pecas Brasil,47.39,Transporte
Imobiliaria Confianca,710.3,Moradia
Supermercado Assai,31.74,Alimentacao
Onibus Intermunicipal,35.76,Transporte
Supermercado Carrefour,39.49,Alimentacao
Cinema Ingresso Show,19.05,Lazer
Salao de Beleza Charme,14.24,Servicos
Lavanderia Rapida,14.32,Servicos
Acougue do Ze,74.78,Alimentacao
Padaria Sao Jose,55.04,Alimentacao
Assinatura Duolingo Plus,85.82,Educacao
Acougue Boi Bom,87.07,Alimentacao
Pedagio Sem Parar,68.51,Transporte
Livraria Livraria Nobel,140.24,Educacao
Bar do Amigo,12.4,Lazer
Imobiliaria Confianca,434.97,Moradia
Mensalidade Escola Bilingue,52.58,Educacao
Consulta Medica Clinica Vida,161.44,Saude
Auto Pecas Brasil,74.19,Transporte
Pedagio Via Facil,23.42,Transporte
Pet Shop Amigo Fiel,32.38,Servicos
Servico de Fotografia,22.39,Servicos
Energia Enel,184.26,Moradia
Salao de Beleza Estilo,27.55,Servicos
Aluguel Apartamento Centro,437.43,Moradia
Aplicativo 99,19.88,Transporte
Seguro Residencial Bradesco,226.8,Moradia
Papelaria Nobre,32.28,Educacao
Fisioterapia ReviveMed,96.29,Saude
Gas Ultragaz,536.29,Moradia
Protecao Veicular Porto Seguro,26.57,Transporte
Pet Shop Bicho Feliz,25.26,Servicos
Estacionamento Zona Azul,38.86,Transporte
Pet Shop Amigo Fiel,25.12,Servicos
Mensalidade Escola Objetivo,157.1,Educacao
Pet Shop Amigo Fiel,22.05,Servicos
Padaria Sao Jose,47.39,Alimentacao
Hospital Sao Marcos,172.69,Saude
Material Escolar Didatico,220.11,Educacao
Oficina Mecanica Silva,32.87,Transporte
Livraria Livraria Nobel,218.13,Educacao
Estacionamento Zona Azul,39.59,Transporte
Chaveiro 24 Horas,24.3,Servicos
Chaveiro 24 Horas,14.5,Servicos
Agua e Esgoto Sabesp,382.32,Moradia
Onibus Metropolitano,46.91,Transporte
Assistencia Tecnica Celular,14.63,Servicos
Parque Aquatico Wet Fun,81.22,Lazer
Auto Pecas Brasil,45.25,Transporte
Aplicativo InDrive,19.58,Transporte
Posto BR Mania,51.75,Transporte
Seguro Residencial Porto,303.14,Moradia
Salao de Beleza Charme,61.74,Servicos
Mensalidade Faculdade Unip,61.1,Educacao
Acougue Boi Bom,87.09,Alimentacao
Bar do Amigo,15.57,Lazer
Streaming Amazon Prime,26.55,Lazer
Aluguel Casa Jardim,585.5,Moradia
Lanchonete Central,75.18,Alimentacao
Curso Online Alura,81.88,Educacao
Curso de Ingles CNA,100.85,Educacao
Imobiliaria Confianca,255.3,Moradia
Revisao Automotiva Center,39.79,Transporte
Fisioterapia ReviveMed,124.36,Saude
Streaming Deezer,84.34,Lazer
Parque Aquatico Wet Fun,87.45,Lazer
Parque de Diversoes,14.3,Lazer
Reforma Casa e Cia,125.15,Moradia
Revisao Automotiva Center,63.56,Transporte
Aluguel Casa Jardim,257.64,Moradia
Streaming Deezer,38.3,Lazer
Hospital Sao Marcos,118.7,Saude
Aplicativo Uber,42.41,Transporte
Seguro Residencial Bradesco,359.38,Moradia
Salao de Beleza Estilo,67.01,Servicos
Estacionamento Zona Azul,77.26,Transporte
Agua e Esgoto Copasa,345.51,Moradia
Pet Shop Bicho Feliz,9.19,Servicos
Bar da Esquina,23.7,Lazer
Mercadinho da Vila,39.38,Alimentacao
Supermercado Pao de Acucar,25.17,Alimentacao
Lavanderia Rapida,20.85,Servicos
Pet Shop Bicho Feliz,56.22,Servicos
Curso de Ingles Wizard,57.58,Educacao
Auto Pecas Center,76.77,Transporte
Restaurante Sabor Caseiro,62.07,Alimentacao
Salao de Beleza Charme,41.7,Servicos
Mercadinho da Vila,36.54,Alimentacao
Cinema Cinemark,30.85,Lazer
Posto Ale,49.75,Transporte
Streaming Amazon Prime,21.51,Lazer
Padaria Doce Vida,43.86,Alimentacao
Energia Enel,381.85,Moradia
Laboratorio Exame Fleury,456.11,Saude
Mensalidade Faculdade Estacio,50.28,Educacao
Feira Livre Central,62.2,Alimentacao
Combustivel Gasolina,82.26,Transporte
Streaming Deezer,45.54,Lazer
Mensalidade Faculdade Anhanguera,113.63,Educacao
Manicure a Domicilio,18.68,Servicos
Bar da Esquina,13.07,Lazer
Agua e Esgoto Copasa,473.96,Moradia
Farmacia Drogasil,343.43,Saude
Acougue Boi Bom,31.67,Alimentacao
Curso de Ingles CNA,78.16,Educacao
Parque Aquatico Wet Fun,49.75,Lazer
Livraria Livraria Nobel,44.2,Educacao
Feira Livre Central,50.44,Alimentacao
Clinica Odontologica Bem Estar,61.72,Saude
Protecao Veicular Allianz,60.02,Transporte
Buffet de Eventos Tematico,68.25,Lazer
Material Escolar Didatico,96.58,Educacao
Cinema Cinemark,22.9,Lazer
Bar do Amigo,35.01,Lazer
Combustivel Gasolina,28.12,Transporte
Padaria Ponto do Pao,93.69,Alimentacao
Consulta Medica Particular,95.26,Saude
Costureira do Bairro,39.38,Servicos
Posto Ale,67.32,Transporte
Reforma Casa e Cia,530.55,Moradia
Acougue Boi Bom,105.17,Alimentacao
Agua e Esgoto Sabesp,172.95,Moradia
Metro Bilhete Unico,117.52,Transporte
Condominio Edificio Central,313.92,Moradia
Farmacia Nissei,72.09,Saude
Papelaria Escolar Center,340.15,Educacao
Energia Light,790.43,Moradia
Assistencia Tecnica Eletronicos,23.96,Servicos
Aplicativo InDrive,42.75,Transporte
Lanchonete do Povo,32.34,Alimentacao
Supermercado Carrefour,51.53,Alimentacao
Streaming Disney Plus,32.06,Lazer
Aplicativo Uber,50.24,Transporte
Boliche Fun Center,12.52,Lazer
Curso Preparatorio Vestibular,159.85,Educacao
Supermercado Pao de Acucar,58.08,Alimentacao
Padaria Ponto do Pao,71.01,Alimentacao
Farmacia Extrafarma,134.59,Saude
Mensalidade Faculdade Estacio,208.64,Educacao
Balada Clube Noturno,22.97,Lazer
Estacionamento Zona Azul,27.7,Transporte
Salao de Beleza Estilo,20.87,Servicos
Conta de Luz,393.05,Moradia
Aluguel Apartamento Centro,171.2,Moradia
Gas Comgas,256.05,Moradia
Streaming Deezer,28.08,Lazer
Barbearia Classica,71.79,Servicos
Plano Odontologico Amil Dental,38.78,Saude
Curso de Ingles Fisk,140.06,Educacao
Onibus Metropolitano,13.72,Transporte
Hortifruti Sao Joao,23.68,Alimentacao
Gas Ultragaz,130.81,Moradia
Lanchonete do Povo,69.24,Alimentacao
Combustivel Gasolina,28.7,Transporte
Streaming Netflix,12.31,Lazer
Gas Comgas,179.72,Moradia
Streaming Amazon Prime,33.13,Lazer
Streaming Deezer,10.18,Lazer
Acougue Central,92.33,Alimentacao
Servico de Fotografia,85.38,Servicos
Curso de Ingles CNA,120.21,Educacao
Streaming Amazon Prime,21.1,Lazer
Farmacia Popular,668.33,Saude
Curso Tecnico Senai,47.17,Educacao
Mensalidade Faculdade Unip,50.08,Educacao
Curso de Ingles Fisk,56.6,Educacao
Bar da Esquina,39.48,Lazer
Mensalidade Escola Bilingue,53.98,Educacao
Streaming Deezer,17.87,Lazer
Streaming Amazon Prime,7.72,Lazer
Psicologo Consulta Online,440.98,Saude
Lanchonete Central,48.19,Alimentacao
Pedagio Via Facil,54.83,Transporte
Papelaria Nobre,45.51,Educacao
Salao de Beleza Estilo,18.3,Servicos
Papelaria Nobre,52.34,Educacao
Energia CPFL,237.35,Moradia
Costureira do Bairro,10.5,Servicos
Revisao Automotiva Center,38.59,Transporte
Supermercado Big Bompreco,34.73,Alimentacao
Energia CPFL,188.73,Moradia
Mercado Sao Luiz,66.35,Alimentacao
Papelaria Nobre,211.62,Educacao
Auto Pecas Center,50.11,Transporte
Barbearia Classica,21.63,Servicos
Streaming Disney Plus,34.49,Lazer
Combustivel Etanol,38.1,Transporte
Combustivel Etanol,28.36,Transporte
Streaming Spotify Premium,34.04,Lazer
Passeio Parque Aquatico,6.59,Lazer
Streaming HBO Max,71.6,Lazer
Hospital Sao Marcos,70.77,Saude
Curso Tecnico Senai,60.69,Educacao
Streaming Spotify Premium,76.6,Lazer
Streaming Netflix,19.89,Lazer
Material de Construcao Leroy Merlin,465.39,Moradia
Energia Cemig,397.09,Moradia
Streaming Spotify Premium,20.07,Lazer
Condominio Residencial Sol,450.95,Moradia
Buffet de Eventos Tematico,15.02,Lazer
Lava Rapido Brilho,35.33,Transporte
Padaria Doce Vida,26.12,Alimentacao
Streaming Disney Plus,34.09,Lazer
Servico de Fotografia,23.49,Servicos
Padaria Bela Vista,74.07,Alimentacao
Mercadinho Bom Preco,54.28,Alimentacao
Farmacia Pague Menos,257.54,Saude
Streaming Disney Plus,9.09,Lazer
Onibus Metropolitano,63.04,Transporte
Plano Odontologico Amil Dental,61.12,Saude
Academia Smart Fit,412.26,Saude
Curso Online Udemy,97.97,Educacao
Salao de Beleza Vintage,53.34,Servicos
Streaming HBO Max,14.49,Lazer
Clinica Odontologica Bem Estar,271.45,Saude
Auto Pecas Brasil,36.85,Transporte
Feira Livre do Bairro,53.44,Alimentacao
Cinema Cinemark,10.53,Lazer
Supermercado Extra,46.17,Alimentacao
Lava Rapido Total,38.36,Transporte
Curso de Ingles Fisk,72.19,Educacao
Mensalidade Escola Objetivo,89.28,Educacao
Internet Tim Live,988.45,Moradia
Rappi Delivery,52.21,Alimentacao
Gas Comgas,730.83,Moradia
Laboratorio Exame Fleury,359.55,Saude
Padaria Ponto do Pao,54.12,Alimentacao
Mensalidade Escola Positivo,33.67,Educacao
Pet Shop Bicho Feliz,9.25,Servicos
Chaveiro 24 Horas,40.06,Servicos
Condominio Residencial Sol,108.42,Moradia
Acougue Central,24.37,Alimentacao
Manicure a Domicilio,5.5,Servicos
Abastecimento Veiculo,60.86,Transporte
Curso Profissionalizante,121.82,Educacao
Onibus Metropolitano,96.21,Transporte
Remedio Farmacia,89.14,Saude
Cinema Cinemark,16.35,Lazer
Boliche Fun Center,14.8,Lazer
Abastecimento Veiculo,33.66,Transporte
Parque Aquatico Wet Fun,9.65,Lazer
Energia Enel,160.85,Moradia
Conta de Agua,322.97,Moradia
Reforma Casa e Cia,152.98,Moradia
Mercadinho da Vila,83.76,Alimentacao
Energia Enel,250.99,Moradia
Barbearia Classica,12.19,Servicos
Costureira do Bairro,25.54,Servicos
Posto Ipiranga,30.28,Transporte
Passeio Parque Aquatico,18.95,Lazer
Buffet de Eventos Tematico,47.81,Lazer
Papelaria Nobre,51.22,Educacao
Hortifruti Sao Joao,49.36,Alimentacao
Academia Bio Ritmo,214.67,Saude
Reforma Casa e Cia,188.62,Moradia
Parque Aquatico Wet Fun,44.7,Lazer
Posto Ale,44.75,Transporte
Curso Preparatorio Vestibular,78.72,Educacao
Gas Ultragaz,348.05,Moradia
Moveis Tok e Stok,308.22,Moradia
Feira Livre Central,105.39,Alimentacao
Energia Light,186.67,Moradia
Aplicativo 99,40.45,Transporte
Salao de Beleza Estilo,16.88,Servicos
iFood Delivery,44.11,Alimentacao
Metro Bilhete Unico,14.24,Transporte
Restaurante Prato Feito,58.16,Alimentacao
Onibus Metropolitano,25.16,Transporte
Assistencia Tecnica Celular,9.05,Servicos
Clinica Odontologica Sorriso,56.45,Saude
Academia Bio Ritmo,83.59,Saude
Estacionamento Multipark,65.56,Transporte
Agua e Esgoto Copasa,227.22,Moradia
Curso Profissionalizante,112.86,Educacao
Academia Smart Fit,146.96,Saude
Salao de Beleza Estilo,13.49,Servicos
Plano de Saude Amil,120.78,Saude
Energia CPFL,553.38,Moradia
Estacionamento Multipark,28.78,Transporte
Restaurante Temperinho,33.62,Alimentacao
Padaria Bela Vista,21.08,Alimentacao
Servico de Fotografia,23.44,Servicos
Mercado Sao Luiz,43.39,Alimentacao
Barbearia Classica,13.05,Servicos
Oficina Mecanica Rapida,21.39,Transporte
Plano de Saude SulAmerica,89.9,Saude
Barbearia Moderna,8.95,Servicos
Supermercado Extra,56.54,Alimentacao
Farmacia Extrafarma,143.04,Saude
Seguro Residencial Bradesco,377.9,Moradia
